Price_UF,Comuna,Dorms,Baths,Built Area,Total Area,Parking,Realtor,UF_m2,log_price,log_area
3600.0,Lampa,3,2,68.0,221.0,1,Behouse,52.941177,8.188689,5.398163
3603.0,Buin,5,3,150.0,190.0,2,Desconocido,24.02,8.189522,5.247024
4795.0,PuenteAlto,4,3,90.0,182.0,3,Bissac,53.27778,8.475329,5.2040067
3750.0,Buin,3,2,85.0,175.0,1,Ambiento Propiedades,44.117645,8.229511,5.164786
5405.0,QuintaNormal,3,3,130.0,402.0,1,Puntoinmobiliario.cl,41.576923,8.595079,5.996452
4000.0,Peñaflor,3,3,84.0,180.0,3,Gesinprop Gestión Inmobiliaria,47.61905,8.294049,5.192957
3880.0,PuenteAlto,3,3,92.0,172.0,4,Mauro Propiedades,42.173912,8.263591,5.1474943
4158.0,QuintaNormal,5,2,130.0,300.0,1,Mauro Propiedades,31.984615,8.332789,5.7037826
4550.0,Lampa,3,3,120.0,189.0,1,Propiedades Cuzmar,37.916668,8.422882,5.241747
3437.0,Maipú,3,1,62.0,165.0,2,Grio Propiedades,55.435482,8.142354,5.1059456
3049.0,Independencia,2,1,92.0,82.0,1,Amgprop,33.141304,8.022569,4.406719
3049.0,PuenteAlto,3,1,50.0,131.0,1,Gesinprop Gestión Inmobiliaria,60.98,8.022569,4.8751974
11087.0,SanMiguel,7,3,220.0,270.0,2,Desconocido,50.395454,9.313528,5.598422
6980.0,Pudahuel,3,3,140.0,298.0,2,Promoción Inmobiliaria,49.857143,8.850804,5.6970935
5821.0,Maipú,3,2,110.0,133.0,1,Desconocido,52.918182,8.669228,4.890349
3950.0,SanBernardo,4,2,120.0,209.0,4,Optima Propiedades,32.916668,8.281471,5.3423343
2608.0,Maipú,3,1,55.0,100.0,1,alejandra escanilla garrido,47.418182,7.8663387,4.6051702
3742.0,Maipú,3,1,99.0,170.0,1,alejandra escanilla garrido,37.79798,8.227376,5.1357985
3714.0,Maipú,3,3,83.0,137.0,2,alejandra escanilla garrido,44.746986,8.219865,4.919981
3326.0,LaFlorida,4,2,101.0,140.0,2,Desconocido,32.930695,8.109526,4.9416423
4155.0,PuenteAlto,3,2,84.0,209.0,3,Desconocido,49.464287,8.3320675,5.3423343
10100.0,Peñalolén,3,3,140.0,272.0,2,Eme Erre Propiedades,72.14286,9.220291,5.605802
2884.0,PuenteAlto,3,1,61.0,108.0,2,Bissac,47.27869,7.9669337,4.6821313
4538.0,Lampa,4,3,113.0,217.0,3,Bissac,40.15929,8.420241,5.3798976
14500.0,LasCondes,6,3,210.0,460.0,2,Arévalo Propiedades,69.04762,9.581904,6.1312265
2495.0,Quilicura,3,1,90.0,100.0,1,Veronica Jara Zuñiga,27.722221,7.822044,4.6051702
5405.0,PuenteAlto,4,2,60.0,200.0,4,Marcia Rivera Fonseca,90.083336,8.595079,5.2983174
4500.0,IsladeMaipo,3,2,96.0,300.0,3,Desconocido,46.875,8.411833,5.7037826
6300.0,Buin,3,3,98.0,223.0,2,Desconocido,64.28571,8.748305,5.4071717
9480.0,LaFlorida,4,4,129.0,160.0,2,Desconocido,73.48837,9.1569395,5.075174
2301.0,Maipú,3,2,56.0,62.0,1,Desconocido,41.089287,7.741099,4.1271343
3326.0,LoPrado,4,1,152.0,225.0,2,Guzmán & Ortega Asesoría Inmobiliaria SpA,21.881578,8.109526,5.4161005
3187.0,PuenteAlto,3,2,57.0,120.0,3,Desconocido,55.91228,8.066835,4.787492
2633.0,Maipú,3,3,76.0,117.0,1,Desconocido,34.644737,7.8758793,4.762174
2356.0,Maipú,2,1,74.0,102.0,1,Gesinprop Gestión Inmobiliaria,31.837837,7.7647204,4.624973
3825.0,Maipú,4,3,90.0,122.0,1,Gesinprop Gestión Inmobiliaria,42.5,8.249313,4.804021
2632.0,Peñaflor,3,2,109.0,128.0,1,Desconocido,24.14679,7.8754992,4.8520303
6850.0,Colina,3,3,120.0,421.0,2,Desconocido,57.083332,8.832004,6.042633
3326.0,LaGranja,3,2,61.0,163.0,2,Desconocido,54.52459,8.109526,5.09375
9380.0,Pudahuel,3,3,132.0,450.0,2,Tzanis Propiedades,71.06061,9.146335,6.1092477
