Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
409285000,11500,509695,QuintaNormal,Hoevel4548y4558,7,4,384.0,732.0,3,11700213,
105000000,2950,130760,PedroAguirreCerda,Rucalhue,2,1,112.0,145.0,1,10894299,Legales y Propiedades SpA
128124000,3600,159557,EstaciónCentral,AvenidaLasParcelas,3,1,59.0,243.0,2,10257635,Propiedadesrs
75000000,2107,93400,Colina,PasajeGonzaloRojas,3,1,103.0,73.0,1,9232092,Patricio Gajardo propiedades
53000000,1489,66002,Colina,HernánDíazArrieta2820,2,1,57.0,67.0,1,7085397,Patricio Gajardo propiedades
94000000,2641,117061,EstaciónCentral,Avenida5deAbril,2,1,72.0,131.0,0,7586371,Patricio Gajardo propiedades
75000000,2107,93400,Colina,GabrielaMistral/PabloNeruda,3,1,70.0,80.0,2,11688480,Patricio Gajardo propiedades
105000000,2950,130760,LaFlorida,SanCristóbalTres,2,1,50.0,120.0,1,12229303,Gesinprop Gestión Inmobiliaria
76000000,2135,94645,Maipú,PasajeJosédeMoraleda,3,1,72.0,72.0,1,12223374,Gesinprop Gestión Inmobiliaria
76000000,2135,94645,Maipú,Matías,3,1,46.0,90.0,1,12221068,Gesinprop Gestión Inmobiliaria
90000000,2529,112080,Maipú,LasTinajas&QuintaVergara,3,1,100.0,134.0,3,12188657,Gesinprop Gestión Inmobiliaria
75000000,2107,93400,SanBernardo,ValledelAconcagua,3,2,50.0,88.0,1,12187463,Gesinprop Gestión Inmobiliaria
153037000,4300,190582,Maipú,Merlin,3,2,98.0,130.0,2,12187364,Gesinprop Gestión Inmobiliaria
132000000,3709,164384,QuintaNormal,SalvadorGutiérrez&Jujuy,4,1,69.0,200.0,2,8493024,Paula Vivanco Arenas
199000000,5591,247821,Santiago,Cuevas,7,3,162.0,185.0,0,12155606,Todo Propiedades
373695000,10500,465374,LaFlorida,JoséMiguelCarrera,7,3,173.0,850.0,3,7850911,
480000000,13487,597758,LaFlorida,Altomacul,5,6,240.0,600.0,2,6474890,Inmobiliaria Barrio Nuevo SpA
142000000,3990,176837,Santiago,Sandaniel,3,2,100.0,163.0,2,12065162,
295397000,8300,367867,LaFlorida,CaminodelaNaturaleza,3,3,105.0,280.0,2,10765504,Ecorredores Gestion Inmobiliaria
391490000,11000,487534,LaFlorida,Cam.LasCumbres6790,5,3,150.0,400.0,2,10105612,Ecorredores Gestion Inmobiliaria
1210060000,34000,1506924,LasCondes,Laforesta,5,5,360.0,1150.0,4,10080545,
160155000,4500,199446,Lampa,AvenidaLaMontañaSur4149,3,3,80.0,156.0,2,8677005,Behouse
129903500,3650,161773,Lampa,AvenidaLaHacienda,3,2,68.0,221.0,1,7850612,Behouse
75000000,2107,93400,Quilicura,Riocachapoal,2,2,70.0,78.0,0,11426067,Propital
50000000,1405,62267,PuenteAlto,CerroParedones,3,1,31.0,73.0,0,11988681,Cgs Corretaje Inmobiliario Spa
175000000,4917,217933,Santiago,RíoTrancura,3,3,94.0,191.0,4,11840169,
150000000,4215,186800,QuintaNormal,NuevaImperial,2,1,96.0,247.0,1,11933894,Cgs Corretaje Inmobiliario Spa
160000000,4496,199253,SanBernardo,AltoJahuel,3,2,91.0,268.0,2,11915330,Legales y Propiedades SpA
75000000,2107,93400,LaPintana,VioletaParra,3,1,62.0,88.0,1,9449460,Legales y Propiedades SpA
75000000,2107,93400,LaPintana,PoetaRamóndelValle,3,2,90.0,80.0,1,9630711,Legales y Propiedades SpA
160000000,4496,199253,PuenteAlto,Colombia,5,2,165.0,315.0,1,9881681,Legales y Propiedades SpA
302728540,8506,376997,PuenteAlto,LaParroquia,2,1,83.0,1000.0,4,10930652,Legales y Propiedades SpA
266925000,7500,332410,QuintaNormal,TadeoVargas,4,3,198.0,354.0,1,11588945,
180000000,5058,224159,Santiago,Vichuquén,3,2,79.0,114.0,0,11791851,Corredora Fuentes Propiedades
120000000,3372,149440,Santiago,LebuOriente,4,1,131.0,138.0,2,11841421,
239000000,6715,297634,Santiago,Avenida10deJulioHuamachuco,5,4,250.0,190.0,1,7756750,Todo Propiedades
444519100,12490,553573,Huechuraba,SantaMartadeHuechuraba,5,5,156.0,530.0,4,11831081,Giordano Propiedades
125000000,3512,155666,Maipú,DaríoPobleteNúñez,3,2,80.0,100.0,2,11607101,dalet propiedades
65129700,1830,81108,SanBernardo,Sta.Ines3481,3,1,52.0,75.0,1,11824596,Rodrigo Cañas de la Cerda Propiedades
115000000,3231,143213,Maipú,Aracari389,3,1,76.0,120.0,2,11786572,Silvana Guillen Propiedades
261586500,7350,325762,SanMiguel,BartoloSoto,3,3,113.0,130.0,1,7971519,Good Property
266569100,7490,331967,Ñuñoa,Av.JoséPedroAlessandri1625,4,3,109.0,119.0,1,7971620,Good Property
160000000,4496,199253,LaFlorida,LosGeranios70,3,1,84.0,200.0,2,11013162,
160155000,4500,199446,Lampa,Lamontañasur,3,2,88.0,158.0,3,11788723,Peralta Propiedades SpA
