Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
129884400,3600.0,158396.0,Lampa,AvenidaLaHacienda,3,2,68.0,221.0,1,7850612,Behouse
130000000,3603.0,158537.0,Buin,Villaseca,5,3,150.0,190.0,2,10081485,
172998805,4795.0,210974.0,PuenteAlto,BarrioAustria,4,3,90.0,182.0,3,10257247,Bissac
135296250,3750.0,164995.0,Buin,ComercianteArmandoPérezCarrasco,3,2,85.0,175.0,1,20153043,Ambiento Propiedades
195000000,5405.0,237805.0,QuintaNormal,Hostos,3,3,130.0,402.0,1,16669338,Puntoinmobiliario.cl
144316000,4000.0,175995.0,Peñaflor,PasajeReinaldoEscobar,3,3,84.0,180.0,3,19749660,Gesinprop Gestión Inmobiliaria
140000000,3880.0,170732.0,PuenteAlto,CalleCardenalFresno,3,3,92.0,172.0,4,7675587,Mauro Propiedades
150000000,4158.0,182927.0,QuintaNormal,PoblaciónIndus,5,2,130.0,300.0,1,16741170,Mauro Propiedades
164159450,4550.0,200194.0,Lampa,LaMontañaSur4149,3,3,120.0,189.0,1,20107942,Propiedades Cuzmar
145000000,4019.0,176829.0,SanJoaquín,Ríoñuble,2,1,70.0,140.0,0,20088962,Royalrealty Spa
124000000,3437.0,151220.0,Maipú,HermanosCarrera,3,1,62.0,165.0,2,18678102,Grio Propiedades
110000000,3049.0,134146.0,Independencia,Pje.Lanceros988,2,1,92.0,82.0,1,17498609,Amgprop
110000000,3049.0,134146.0,PuenteAlto,LasHortensias,3,1,50.0,131.0,1,18394432,Gesinprop Gestión Inmobiliaria
400000000,11087.0,487805.0,SanMiguel,AvenidaSalesianos,7,3,220.0,270.0,2,20065940,
251831420,6980.0,307111.0,Pudahuel,DelCrepúsculo,3,3,140.0,298.0,2,17445269,Promoción Inmobiliaria
188000000,5211.0,229268.0,Santiago,RafaelSotomayor381,4,2,131.0,77.0,0,9991479,Jlipropiedades
210000000,5821.0,256098.0,Maipú,Islachica,3,2,110.0,133.0,1,20029509,
142512050,3950.0,173795.0,SanBernardo,Pje.SanArcadio1680,4,2,120.0,209.0,4,20001332,Optima Propiedades
94100000,2608.0,114756.0,Maipú,Elsurazo,3,1,55.0,100.0,1,11630172,alejandra escanilla garrido
135000000,3742.0,164634.0,Maipú,Manchester,3,1,99.0,170.0,1,20000186,alejandra escanilla garrido
134000000,3714.0,163415.0,Maipú,PasajeVirgendeGuadalupe3,3,3,83.0,137.0,2,15504782,alejandra escanilla garrido
120000000,3326.0,146341.0,LaFlorida,Avenidacoronelytrinidad,4,2,101.0,140.0,2,19999356,
149908245,4155.0,182815.0,PuenteAlto,LosAvellamos3939,3,2,84.0,209.0,3,19992949,
364397900,10100.0,444388.0,Peñalolén,AltosdelParque4190,3,3,140.0,272.0,2,16264974,Eme Erre Propiedades
104051836,2884.0,126892.0,PuenteAlto,Abtao,3,1,61.0,108.0,2,11066473,Bissac
163726502,4538.0,199666.0,Lampa,LasVeronicasPoniente,4,3,113.0,217.0,3,15853413,Bissac
487066500,13500.0,593984.0,IsladeMaipo,IsladeMaipo,4,4,210.0,5000.0,2,19794534,
523145500,14500.0,637982.0,LasCondes,Brunellesco490,6,3,210.0,460.0,2,15125995,Arévalo Propiedades
90000000,2495.0,109756.0,Quilicura,arturoprat84,3,1,90.0,100.0,1,14184606,Veronica Jara Zuñiga
195006995,5405.0,237813.0,PuenteAlto,AvenidaConchayToro,4,2,60.0,200.0,4,18766384,Marcia Rivera Fonseca
162355500,4500.0,197995.0,IsladeMaipo,calledosxx,3,2,96.0,300.0,3,19757255,
227297700,6300.0,277192.0,Buin,ValleAraucarias,3,3,98.0,223.0,2,19395951,
342028920,9480.0,417108.0,LaFlorida,RojasMagallanes3600,4,4,129.0,160.0,2,19749278,
83000000,2301.0,101220.0,Maipú,PasajePasodeLosPatos,3,2,56.0,62.0,1,19749302,
120000000,3326.0,146341.0,LoPrado,LosCopihues,4,1,152.0,225.0,2,19747243,Guzmán & Ortega Asesoría Inmobiliaria SpA
115000000,3187.0,140244.0,PuenteAlto,PasajeBogatell2Sur,3,2,57.0,120.0,3,19746717,
95000000,2633.0,115854.0,Maipú,PasajeFilodendro6,3,3,76.0,117.0,1,15766961,
85000000,2356.0,103659.0,Maipú,Galicia,2,1,74.0,102.0,1,18394606,Gesinprop Gestión Inmobiliaria
