Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor,poblacion,icvu,ingreso_promedio,Precio_CLP_Actual,Grupo
409285000,11500.0,509695.0,QuintaNormal,Hoevel4548y4558,7,4,384.0,732.0,3,11700213,,130000,47.2,750000,469027270,2
105000000,2950.0,130760.0,PedroAguirreCerda,Rucalhue,2,1,112.0,145.0,1,10894299,Legales y Propiedades SpA,115000,41.2,620000,120315691,0
128124000,3600.0,159557.0,EstacionCentral,AvenidaLasParcelas,3,1,59.0,243.0,2,10257635,Propiedadesrs,200000,46.8,720000,146825928,0
75000000,2107.0,93400.0,Colina,PasajeGonzaloRojas,3,1,103.0,73.0,1,9232092,Patricio Gajardo propiedades,180000,53.1,920000,85933953,0
53000000,1489.0,66002.0,Colina,HernánDíazArrieta2820,2,1,57.0,67.0,1,7085397,Patricio Gajardo propiedades,180000,53.1,920000,60728835,0
94000000,2641.0,117061.0,EstacionCentral,Avenida5deAbril,2,1,72.0,131.0,0,7586371,Patricio Gajardo propiedades,200000,46.8,720000,107713132,0
75000000,2107.0,93400.0,Colina,GabrielaMistral/PabloNeruda,3,1,70.0,80.0,2,11688480,Patricio Gajardo propiedades,180000,53.1,920000,85933953,0
105000000,2950.0,130760.0,LaFlorida,SanCristóbalTres,2,1,50.0,120.0,1,12229303,Gesinprop Gestión Inmobiliaria,400000,53.6,950000,120315691,0
76000000,2135.0,94645.0,Maipu,PasajeJosédeMoraleda,3,1,72.0,72.0,1,12223374,Gesinprop Gestión Inmobiliaria,580000,50.2,850000,87075932,0
76000000,2135.0,94645.0,Maipu,Matías,3,1,46.0,90.0,1,12221068,Gesinprop Gestión Inmobiliaria,580000,50.2,850000,87075932,0
90000000,2529.0,112080.0,Maipu,LasTinajas&QuintaVergara,3,1,100.0,134.0,3,12188657,Gesinprop Gestión Inmobiliaria,580000,50.2,850000,103145214,0
75000000,2107.0,93400.0,SanBernardo,ValledelAconcagua,3,2,50.0,88.0,1,12187463,Gesinprop Gestión Inmobiliaria,320000,40.5,620000,85933953,0
153037000,4300.0,190582.0,Maipu,Merlin,3,2,98.0,130.0,2,12187364,Gesinprop Gestión Inmobiliaria,580000,50.2,850000,175375414,0
132000000,3709.0,164384.0,QuintaNormal,SalvadorGutiérrez&Jujuy,4,1,69.0,200.0,2,8493024,Paula Vivanco Arenas,130000,47.2,750000,151271491,0
199000000,5591.0,247821.0,Santiago,Cuevas,7,3,162.0,185.0,0,12155606,Todo Propiedades,505000,62.4,1200000,228028823,3
373695000,10500.0,465374.0,LaFlorida,JoséMiguelCarrera,7,3,173.0,850.0,3,7850911,,400000,53.6,950000,428242290,3
